"user","viz","accuracy","difficulty"
"HStqpovWTqfwSwfpC","series",0.75,"easy"
"HSzZRx9bSdXWiRdLk","series",0.75,"easy"
"HYLe8iN7tKsJQZQjt","series",0.5,"easy"
"HpKs8JeagNQCAHcYx","series",0.75,"easy"
"HttjEXro9w8B2reDD","series",0.75,"easy"
"JqfvicGQJXeeKRJ64","series",0.25,"easy"
"JtNC5LZmmsmt7BrXm","series",0.75,"easy"
"KBG93DoQC4YeksP73","series",0.75,"easy"
"KDkcqMDJgbEfuyecm","series",0.75,"easy"
"KSaHABwnWq7vMF8ud","series",0.5,"easy"
"KXyDP5KMrmHR7bWvw","series",0.75,"easy"
"KeeScEwzE7d7Y8pjM","series",0.75,"easy"
"Ks7TdoNZwHMhapYuY","series",0.75,"easy"
"L6hhWSmzt5Gre4bMc","series",0.75,"easy"
"NLnWB24ANhreeNFuh","series",0.75,"easy"
"NZrcevWgubZ6E9Lc4","series",0.75,"easy"
"NisupxDZ8oQayBpB5","series",0.75,"easy"
"NzaXeMLv7jexivZFF","series",0.75,"easy"
"SQHrrqMRPZPWfD6d3","series",0.5,"easy"
"SphgvbbrKkYNYaWNd","series",1,"easy"
"TJadZckir3gGdGQj9","series",0.5,"easy"
"TZKHo2T9ywkiKhPyX","series",1,"easy"
"TbhJt2kCMtWXJ387e","series",0.5,"easy"
"W7XciYuzprjnwgbTP","series",0.5,"easy"
"WW9zqyfyPHjFS6fPR","series",0.75,"easy"
"We3Btupw8RnuCSnYC","series",0.5,"easy"
"YDbqWAi595CRKxbjf","series",0.75,"easy"
"YJzWPZRYPHG3rRrBw","series",1,"easy"
"YSX6542MwRYTZdDFW","series",0.5,"easy"
"Z3aTLPbG8wvPy6TzA","series",0.75,"easy"
"ZHNtTdcsi2rTaqr3H","series",0.75,"easy"
"ZinxDRBpTmbfPbyh3","series",0.5,"easy"
"anADbMMrWqwy5fpXL","series",0.5,"easy"
"dLfWKPg4vzZENza7s","series",1,"easy"
"dtQA2mR79kEjZbCtx","series",0.5,"easy"
"eJLcPS8n3aLYMZetQ","series",0.75,"easy"
"eWYf558HzqZYTLXjd","series",0.75,"easy"
"eneKDk3QDTpghzkg5","series",0.5,"easy"
"fJ9m7KSykZNBKraP9","series",0.75,"easy"
"fnybrL5hbku3RuxsW","series",0.75,"easy"
"fqMr9DzgADfvbhEFP","series",0.75,"easy"
"g8752kBeS4S7Q2bFZ","series",1,"easy"
"gjHnYbyFFisfigApY","series",0.75,"easy"
"hgYDJshRwxs7egfvX","series",0.25,"easy"
"iACT8Wc9PosXt7xH6","series",0.75,"easy"
"jT3SAdPp5gfHr4k4n","series",0.25,"easy"
"jbuSnNTzpPv7iQPGq","series",1,"easy"
"kJCFGZGPqBPM5NiEu","series",0.75,"easy"
"kuA7hMBw2iFfwZ9fw","series",0.75,"easy"
"mh9p2kSQWvM8uAEK7","series",0.75,"easy"
"nAPiCihqksXL2XbTM","series",0.75,"easy"
"nPCqhcMdGm39zbLEe","series",0.75,"easy"
"nnqqJDqAKBySbdvdE","series",0.75,"easy"
"obXkTyEzXzSrubofE","series",0.75,"easy"
"qNMBxhDWJv2wbJPzh","series",1,"easy"
"qZwnWqNYBMnLCHzz2","series",0.5,"easy"
"qjzv49dPMBpv5LSyA","series",0.75,"easy"
"rP3cpBASPsit6sCMQ","series",0.5,"easy"
"sndaJBRShTy4bzbPq","series",0.5,"easy"
"stmcDKF2QPkaxzcxZ","series",1,"easy"
"uTbjZ8i4j5enGeHvQ","series",0.75,"easy"
"uf8PMATFx4hCcscLz","series",0.75,"easy"
"vF6k2cJjTXN2jH9Jj","series",0.75,"easy"
"vSzr7miAEFuvzip2b","series",0.75,"easy"
"vTe2CEZbj9q8wkhYc","series",0.75,"easy"
"vhAsiBXaDHghxPSTn","series",1,"easy"
"wHpjq3hzhkJu5kNHm","series",0.5,"easy"
"wRfXsATRbv699hZeG","series",0.5,"easy"
"wpHaTDLSHxwWcei3T","series",0.75,"easy"
"wsybRyehJdJyxLfCS","series",0.25,"easy"
"wtNK7f3ZzgkWHgCEN","series",1,"easy"
"wyjoPhnY2LzWWZAAh","series",0.5,"easy"
"xrzoyr6xvKMK57tSi","series",0.75,"easy"
"yMWvDqhxa73veYGvv","series",0.75,"easy"
"44Q3cDweeZi2KdNrQ","dots",1,"easy"
"49wAhBNrW23jx3XXn","dots",0,"easy"
"4k5RPShwnGPRsGyT5","dots",1,"easy"
"4yFSjAcLo8Xpb5NBr","dots",0.5,"easy"
"565FWNPmM73esEnv7","dots",0.75,"easy"
"5L4DdJBz8gq2Fug2c","dots",0.5,"easy"
"6bJLH7KTRKX24rdzY","dots",0.75,"easy"
"6hgn73CdCNRrsor7j","dots",0.75,"easy"
"6saGvz5mG5TgySvef","dots",0.75,"easy"
"6uWMQQ6rvPijqaHNb","dots",1,"easy"
"6w7CZYGQNDrpj7Dfp","dots",0.25,"easy"
"7mkiJ4PwnZGd2X5r3","dots",1,"easy"
"7sxqmnM8jPLCjgvur","dots",1,"easy"
"BGRvy45SSZdLGcDG9","dots",0.5,"easy"
"BRKEpiDsoBxXrNKWE","dots",1,"easy"
"ChMyMnHcj3MDEjgQT","dots",1,"easy"
"DAF22qWpCZ47gHCzY","dots",0,"easy"
"DejXtMhqHs5NKZnzH","dots",0.75,"easy"
"G6dBvgqckNkQ6g2gB","dots",0.5,"easy"
"GEZt6ZhsCGbMQtuXb","dots",0.75,"easy"
"GJs3xFDrbmEwXYAkh","dots",0.75,"easy"
"GM4BbQSYSjxzjrERS","dots",0,"easy"
"JTxorRPnKEGqjSq4K","dots",0.5,"easy"
"Je8XpG9m9hC9hToY4","dots",0.5,"easy"
"JkH5ARHNWebYz6nGM","dots",1,"easy"
"JodzAGSWFtbvdeSqk","dots",0.25,"easy"
"KT37QyJpjP4JnFivG","dots",0.75,"easy"
"LHMtg4o7REozFZQst","dots",0.25,"easy"
"LzuRw7CoatTcNqkTa","dots",0.5,"easy"
"NQCMNnTz4xWZApaQB","dots",0,"easy"
"NWX67F5zDpwL4WnxW","dots",0.75,"easy"
"PwEBrnoa3rZjouL34","dots",1,"easy"
"QYunZ6tMA7J26vjAd","dots",0.25,"easy"
"So6vS7RTzcjczT2Ez","dots",0.75,"easy"
"TX9Dts9gXNPXMz8rB","dots",0.25,"easy"
"TkfAAFTqB28dK39oz","dots",0,"easy"
"WP5PCfQxB3wEAurmg","dots",0.75,"easy"
"XYBg97mNbPsE3LvZ3","dots",0,"easy"
"Xvfo9pTPRFTcRWZjk","dots",0.5,"easy"
"YuvzrAZxcQM3iybyi","dots",0.75,"easy"
"Z6Hs8C578xLyc3mPW","dots",0,"easy"
"bLmrD6kL2LcejcDGG","dots",1,"easy"
"bNfX5RtGxcjjEaQnm","dots",0.5,"easy"
"ciXN2wMuNmuSQ39g2","dots",0.5,"easy"
"eFKFSc7w9LpttzJXf","dots",0.25,"easy"
"eH6KnmqCsvg7MYmLA","dots",1,"easy"
"eneTp6w6pA84Mei59","dots",0.75,"easy"
"fZtpasQDW9KEkvNvm","dots",0.75,"easy"
"gg3R6eX4snK5WPerg","dots",0.75,"easy"
"gkKbippZgDj7cmuE5","dots",1,"easy"
"gmhXAx3kc6sHGYumc","dots",1,"easy"
"gmmuoNCkMmb4GrMiY","dots",0.75,"easy"
"h5YWLzcpNyYqbXw6v","dots",0.25,"easy"
