"user","viz","speed","difficulty"
"3NXNbigM76nQKAs89","chart",101.50875,"easy"
"3cZwuTXWPouEuqe9y","chart",64.28775,"easy"
"57zdiZK38YnEcLrXp","chart",54.602,"easy"
"8HTePmjPLTLT5f3HZ","chart",37.3505,"easy"
"9M5H84ahykKNs7Ja6","chart",65.42625,"easy"
"9agXJZdg9R5W8spwF","chart",124.1255,"easy"
"A8ppFqrxQHpgk3MzE","chart",35.37325,"easy"
"AL4dRc3qJ2uhrp7rE","chart",82.23375,"easy"
"AMh3TgppBHmzPL9iD","chart",49.9465,"easy"
"AwRr7nMbybTLF4mQA","chart",40.99225,"easy"
"B4oDhv6EgeaKp3MYf","chart",20.3215,"easy"
"C8uxJpFgPGc78h28h","chart",124.25925,"easy"
"Cm7MWdJ2tFXu4wF7d","chart",90.94475,"easy"
"Cwp6FFWujWJRktXw9","chart",99.20825,"easy"
"DzJYRt9TL6xTyC8wA","chart",47.89625,"easy"
"EJAkESF8jksJPoAEg","chart",60.2105,"easy"
"KeQoR9bNowmKCKzvu","chart",31.306,"easy"
"Ky3yuBfd2RKkD6h7z","chart",142.94225,"easy"
"LvF8kX7yJ4FeHMK9w","chart",41.7155,"easy"
"MK96LdywSXKk6yfb7","chart",73.9795,"easy"
"NoQhQnJxHAoDAaumx","chart",44.423,"easy"
"PsQ9F7kF2KdYbyvET","chart",61.9565,"easy"
"Skh2fCDyZAMRf7NQT","chart",51.76975,"easy"
"THgK9emkLiA342cgM","chart",52.525,"easy"
"TL5XJLtaMeN8PnNNA","chart",126.07675,"easy"
"TRNhRRY9Pmsh8zNay","chart",87.77775,"easy"
"Tr7NqkSqoiscHmNSY","chart",49.29925,"easy"
"WajBF7PM7wJCenux5","chart",26.10925,"easy"
"Wrj78XYmTRq7a6oz8","chart",112.573,"easy"
"WwbAP4Yb8zx33vyWG","chart",120.9295,"easy"
"Y6eqSXtpoJEyHQq2w","chart",40.42725,"easy"
"YMahh8fY3JjTXxK7y","chart",22.592,"easy"
"YQB4KCyQkfmagQhBK","chart",92.12775,"easy"
"Ye65yB8imJSNsDvjk","chart",39.816,"easy"
"ZKYJkThFGEvK8hYmH","chart",26.56275,"easy"
"ahrfcQkgKqWz8Ek3F","chart",96.53725,"easy"
"bmH9nMDCxXucKruGo","chart",17.63225,"easy"
"bya8aym4ESWqqmKz6","chart",96.0355,"easy"
"cgsEZnFz5vQCBeGGF","chart",66.66625,"easy"
"dY5LTBLoGB7usQKzM","chart",31.492,"easy"
"fqEXNiakpJomYPJcM","chart",76.0855,"easy"
"gpBmdRkRZjZ2LrKkP","chart",78.28525,"easy"
"iDm6WLBzx5sPjZNd7","chart",45.3,"easy"
"iKNrg6Y9DgKobHN3H","chart",51.82125,"easy"
"iLuNhE8pcfbotoG4X","chart",48.393,"easy"
"jkkbEENQsL6S4sSsW","chart",90.51025,"easy"
"kMM33M7BMLMciZmzo","chart",57.2945,"easy"
"kvedfrfTtmZXL8uqw","chart",39.21525,"easy"
"n64KKj2WgY4MFqCR8","chart",27.7665,"easy"
"n9tRymw2b29xNXNQw","chart",167.59475,"easy"
"nZgAfxxLXB9NQ3Fc3","chart",74.2015,"easy"
"oDRjW22eKjuDwoWCz","chart",54.137,"easy"
"p96CHPyE26CXFbzAy","chart",31.53275,"easy"
"rXh8hBQFL2mwnymZR","chart",31.46375,"easy"
"rsapax3ByCh3AFkfZ","chart",48.88125,"easy"
"tG82Mr6tM4vPTp4rW","chart",126.16175,"easy"
"3CJzKE2sMHYYpv4ZJ","map",64.36675,"easy"
"4aGdhs8S6FR22xJRk","map",23.5825,"easy"
"4uPWPfYrqf62aZDHu","map",119.23425,"easy"
"6RqvhJwruPeaq5Wiu","map",32.95225,"easy"
"85AnrXnvyx6DGzS3E","map",43.57475,"easy"
"85aK5nhYqcZsduee9","map",175.4855,"easy"
"8oncgLBTZtRGzmjQc","map",82.995,"easy"
"A6ukt8wTXoscrga56","map",60.9955,"easy"
"AGYsTWawDsrb6PqzD","map",41.18825,"easy"
"CjMr943yDJzT5MMxM","map",90.96475,"easy"
"DgNeQjdZpdJmc3kRR","map",125.799,"easy"
"DmcvWpTgM6swZQgXk","map",91.7725,"easy"
"EmD2qtgL4Q9tJJzCw","map",54.225,"easy"
"EyggG4F5ytBcAnDYi","map",12.54375,"easy"
"Ez4sXXorW4sK6fHmd","map",69.2195,"easy"
"FotaBu7ND6CmG7iWW","map",49.21125,"easy"
"GGLzbJeQn8ZrZwkcc","map",51.72225,"easy"
"HFmDnjZkNekoPaKDt","map",102.786,"easy"
"JJBwJoErRELYD3otD","map",50.5945,"easy"
"K3ZDZRLjkQFqxZ64h","map",34.22325,"easy"
"LLkmXNFjd9Xekzsbe","map",105.315,"easy"
"LWb6ehf8PAdrDnMt5","map",28.2845,"easy"
"NBRmsMXC9YC3nJYpM","map",40.6345,"easy"
"Noexq9g9tg5XrNG8N","map",82.257,"easy"
"NzW69rumdPRYDXo8D","map",101.45775,"easy"
"PdXnETv6jAK23hYpp","map",69.0465,"easy"
"Qzb5Xx3mKo8Mkvb24","map",53.04,"easy"
"R3orCFiwipaEJZjgy","map",71.704,"easy"
"RaCmgFxpJoaKvF8Fg","map",61.92975,"easy"
"TScYrFrZZMHzjZpC3","map",48.49125,"easy"
"TftxzvxgmKZTyvRqG","map",92.50625,"easy"
"TiDZBcGFScRA4NTE8","map",42.3385,"easy"
"WXyXqZ6LB2NgLAoAN","map",34.52425,"easy"
"Wm5caAkfs4zYSx7rs","map",45.67475,"easy"
"XK7HZszKh5DB5nkf4","map",54.066,"easy"
"XauekjSJ4jgTEm9NX","map",11.90875,"easy"
"Xj2DMiLHrcZKT93Dz","map",124.7955,"easy"
"XnY2aHcsk8cbQbF7Y","map",42.48975,"easy"
"YDBqnjgjFRC7ZvpeY","map",47.43975,"easy"
"Z85BhuzTR3dAsKXMR","map",109.8135,"easy"
"aZuNFzhZxECm9nNeE","map",41.815,"easy"
"aa4meRBmZ9SH3HkPH","map",80.5545,"easy"
"ac6KP6GuesR5dHrzX","map",54.09475,"easy"
"axrm2f7L6xv89QmN9","map",46.73325,"easy"
"cm2dKrt5FiSdPQYD2","map",96.7505,"easy"
"cngZsBZX5N9fjXp9i","map",29.1205,"easy"
"d5beoXxKBdTu4Jdn7","map",115.402,"easy"
"dACHxFDBRPwvDYFrD","map",82.41675,"easy"
"dj6j7dNuabvZYM7qf","map",43.18925,"easy"
"e572swucWvLEMxmWH","map",35.09725,"easy"
"iD2k42rucGqSihRyD","map",79.05075,"easy"
"jXvgedbwf2zPTFvMz","map",60.2485,"easy"
"mcBBdABuErZtd5SQt","map",32.41675,"easy"
"mow3tQCjYGvuuJtM9","map",11.80925,"easy"
"nDxPzaK8WbyEDQbSL","map",61.7645,"easy"
"o8h2y3NSZ3TiFmEuA","map",78.968,"easy"
"oZgA7zMzJYw8w7i2K","map",32.3475,"easy"
"p4EgJtcC9FFTXFYj4","map",90.685,"easy"
"pFGds9sCShxFpigme","map",66.73575,"easy"
"pNpPxpSZf4kRk7Pwf","map",80.841,"easy"
"pbchkZEmGwsfjhJMe","map",30.5055,"easy"
"pn5HHxd2JYRfeeTq2","map",35.095,"easy"
"4LNR8zsfngckTHwgs","dots",45.174,"easy"
"4Z4hJFxsL4vtRWGqv","dots",48.42625,"easy"
"4b8y692Tb8BxsK8Lm","dots",58.86625,"easy"
"4bHzrqd3Kx4nAQDTg","dots",75.83825,"easy"
"4cekzyN5zuwojmnci","dots",30.97675,"easy"
"5qxdMLFYgbsEGJ9tD","dots",119.165,"easy"
"75QZK5nw8m4DfumgR","dots",48.95775,"easy"
