"user","viz","speed","difficulty"
"EbtiYzqZtKd68LSjv","series",58.10525,"easy"
"Eqn4ype3Z9xvpy6jD","series",51.90925,"easy"
"FMACGWEb2mpFmzcy8","series",94.173,"easy"
"FTWQdHzfYQebiCvue","series",53.922,"easy"
"FqCqdGdj9BARepSne","series",55.67975,"easy"
"HR5hGs4XkMDoDYfhQ","series",79.3325,"easy"
"HStqpovWTqfwSwfpC","series",58.969,"easy"
"HSzZRx9bSdXWiRdLk","series",64.84275,"easy"
"HYLe8iN7tKsJQZQjt","series",58.2765,"easy"
"HpKs8JeagNQCAHcYx","series",49.61025,"easy"
"HttjEXro9w8B2reDD","series",75.52975,"easy"
"JqfvicGQJXeeKRJ64","series",60.8465,"easy"
"JtNC5LZmmsmt7BrXm","series",101.0515,"easy"
"KBG93DoQC4YeksP73","series",42.21275,"easy"
"KDkcqMDJgbEfuyecm","series",65.703,"easy"
"KSaHABwnWq7vMF8ud","series",46.5995,"easy"
"KXyDP5KMrmHR7bWvw","series",43.63125,"easy"
"KeeScEwzE7d7Y8pjM","series",64.9605,"easy"
"Ks7TdoNZwHMhapYuY","series",47.4635,"easy"
"L6hhWSmzt5Gre4bMc","series",93.6765,"easy"
"NLnWB24ANhreeNFuh","series",49.10325,"easy"
"NZrcevWgubZ6E9Lc4","series",81.7855,"easy"
"NisupxDZ8oQayBpB5","series",45.27225,"easy"
"NzaXeMLv7jexivZFF","series",77.85825,"easy"
"SQHrrqMRPZPWfD6d3","series",83.7305,"easy"
"SphgvbbrKkYNYaWNd","series",87.339,"easy"
"TJadZckir3gGdGQj9","series",69.0705,"easy"
"TZKHo2T9ywkiKhPyX","series",82.88475,"easy"
"TbhJt2kCMtWXJ387e","series",105.93325,"easy"
"W7XciYuzprjnwgbTP","series",32.06425,"easy"
"WW9zqyfyPHjFS6fPR","series",36.638,"easy"
"We3Btupw8RnuCSnYC","series",51.105,"easy"
"YDbqWAi595CRKxbjf","series",93.85125,"easy"
"YJzWPZRYPHG3rRrBw","series",33.0705,"easy"
"YSX6542MwRYTZdDFW","series",100.6895,"easy"
"Z3aTLPbG8wvPy6TzA","series",58.0865,"easy"
"ZHNtTdcsi2rTaqr3H","series",103.7695,"easy"
"ZinxDRBpTmbfPbyh3","series",117.17525,"easy"
"anADbMMrWqwy5fpXL","series",52.23425,"easy"
"dLfWKPg4vzZENza7s","series",28.53575,"easy"
"dtQA2mR79kEjZbCtx","series",75.5825,"easy"
"eJLcPS8n3aLYMZetQ","series",25.3245,"easy"
"eWYf558HzqZYTLXjd","series",82.84975,"easy"
"eneKDk3QDTpghzkg5","series",67.45175,"easy"
"fJ9m7KSykZNBKraP9","series",107.64975,"easy"
"fnybrL5hbku3RuxsW","series",73.79075,"easy"
"fqMr9DzgADfvbhEFP","series",64.0095,"easy"
"g8752kBeS4S7Q2bFZ","series",65.57725,"easy"
"gjHnYbyFFisfigApY","series",78.51625,"easy"
"hgYDJshRwxs7egfvX","series",66.32475,"easy"
"iACT8Wc9PosXt7xH6","series",41.74775,"easy"
"jT3SAdPp5gfHr4k4n","series",64.903,"easy"
"jbuSnNTzpPv7iQPGq","series",77.48275,"easy"
"kJCFGZGPqBPM5NiEu","series",46.59375,"easy"
"kuA7hMBw2iFfwZ9fw","series",68.76025,"easy"
"mh9p2kSQWvM8uAEK7","series",28.85275,"easy"
"nAPiCihqksXL2XbTM","series",76.08325,"easy"
"nPCqhcMdGm39zbLEe","series",62.306,"easy"
"nnqqJDqAKBySbdvdE","series",43.70575,"easy"
"obXkTyEzXzSrubofE","series",48.82275,"easy"
